"","Creditability","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Sex...Marital.Status","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone","Foreign.Worker"
"497","1","3",6,"2","3",2108,1,3,2,"3",1,2,"1",29,2,"1",1,1,1,1,1
"756","0","1",15,"1","4",950,1,4,4,"2",1,3,"3",33,2,"1",2,1,2,1,1
"580","0","1",42,"2","3",7174,4,3,4,"1",1,3,"3",30,2,"2",1,1,1,2,1
"833","0","3",36,"3","4",7980,4,1,4,"2",1,4,"3",27,2,"1",2,1,1,2,1
"602","1","3",24,"3","2",2028,1,3,2,"2",1,2,"2",30,2,"2",2,1,1,1,1
"734","1","1",15,"2","4",2511,1,1,1,"1",1,4,"3",23,2,"1",1,1,1,1,1
"303","1","3",24,"2","2",3749,1,1,2,"1",1,4,"3",26,2,"2",1,1,1,1,1
"923","0","1",24,"2","4",1442,1,3,4,"1",1,4,"3",23,2,"1",2,1,1,1,1
"677","1","1",9,"3","3",1138,1,2,4,"2",1,4,"1",25,2,"2",2,1,1,1,1
"124","1","3",15,"3","3",1459,1,2,4,"1",1,2,"3",43,2,"2",1,1,1,1,1
"942","0","2",12,"2","4",888,1,4,4,"2",1,4,"3",41,1,"2",1,1,2,1,1
"8","1","1",6,"3","4",1361,1,1,2,"2",1,4,"1",40,2,"2",1,1,2,1,2
"764","0","2",60,"2","3",6288,1,2,4,"2",1,4,"4",42,2,"3",1,1,1,1,1
"60","1","3",36,"2","4",3079,4,2,4,"2",1,4,"1",36,2,"2",1,1,1,1,1
"462","1","2",18,"3","2",7374,1,1,4,"2",1,4,"2",40,1,"2",2,1,1,2,1
"674","1","2",8,"2","3",760,1,3,4,"1",2,2,"1",44,2,"2",1,1,1,1,1
"498","1","3",24,"3","1",4042,4,3,3,"2",1,4,"2",43,2,"2",2,1,1,2,1
"91","1","2",12,"3","4",1995,2,1,4,"2",1,1,"3",27,2,"2",1,1,1,1,1
"447","1","3",6,"3","3",700,4,4,4,"2",1,4,"4",36,2,"3",2,1,1,1,1
"195","1","3",12,"2","3",1262,1,2,3,"2",1,2,"3",25,2,"2",1,1,1,1,1
"769","0","2",9,"1","4",1437,2,3,2,"2",1,3,"4",29,2,"2",1,1,1,1,1
"17","1","1",11,"3","4",3939,1,2,1,"2",1,2,"1",40,2,"2",2,1,2,1,1
"469","1","2",36,"2","3",2323,1,3,4,"2",1,4,"3",24,2,"1",1,1,1,1,1
"139","1","2",6,"3","4",932,4,3,1,"1",1,3,"2",39,2,"2",2,1,1,1,1
"561","1","3",20,"3","4",3485,4,1,2,"1",1,4,"1",44,2,"2",2,1,1,2,1
"145","1","3",36,"2","3",2394,4,2,4,"1",1,4,"3",25,2,"2",1,1,1,1,1
"575","1","2",36,"2","1",6948,1,2,2,"2",1,2,"3",35,2,"1",1,1,1,2,1
"831","0","2",36,"1","3",3804,1,2,4,"1",1,1,"3",42,2,"2",1,1,1,2,1
"428","0","2",9,"3","3",1501,1,4,2,"1",1,3,"3",34,2,"2",2,1,1,2,1
"259","1","1",10,"2","3",2315,1,4,3,"2",1,4,"1",52,2,"2",1,1,1,1,1
"664","1","2",6,"2","3",1068,1,4,4,"2",1,4,"3",28,2,"2",1,1,2,1,1
"617","1","1",30,"3","1",10623,1,4,3,"2",1,4,"4",38,2,"3",2,1,2,2,1
"527","1","1",12,"2","3",701,1,2,4,"3",1,2,"1",40,2,"2",1,1,1,1,1
"1","1","1",18,"3","2",1049,1,1,4,"1",1,4,"2",21,2,"1",1,1,1,1,1
"247","1","3",18,"3","3",1800,1,2,4,"2",1,2,"3",24,2,"2",2,1,1,1,1
"134","1","3",18,"2","3",1453,1,1,3,"1",1,1,"1",26,2,"2",1,1,1,1,1
"967","0","3",24,"3","4",8648,1,1,2,"2",1,2,"3",27,1,"2",2,1,1,2,1
"953","0","2",21,"2","4",1188,1,4,2,"1",1,4,"2",39,2,"2",1,1,2,1,1
"85","1","3",15,"3","2",1520,4,4,4,"2",1,4,"2",63,2,"2",1,1,1,1,1
"31","1","3",30,"3","3",3017,1,4,4,"2",1,4,"2",47,2,"2",1,1,1,1,1
"56","1","1",12,"3","3",385,1,3,4,"1",1,3,"1",58,2,"2",2,1,1,2,1
"921","0","1",24,"1","2",3552,1,3,3,"2",1,4,"3",27,1,"2",1,1,1,1,1
"897","0","3",21,"3","4",2580,3,1,4,"2",1,2,"1",41,1,"2",1,1,2,1,1
"694","1","3",15,"3","1",3594,1,1,1,"1",1,2,"2",46,2,"2",2,1,1,1,1
"530","1","3",18,"3","3",2238,1,2,2,"1",1,1,"3",25,2,"2",2,1,1,1,1
"89","1","1",6,"3","4",666,3,3,3,"1",1,4,"1",39,2,"2",2,1,1,2,1
"882","0","3",9,"1","3",1337,1,1,4,"2",1,2,"3",34,2,"2",2,1,1,2,1
"331","1","3",24,"3","3",1927,4,2,3,"1",1,2,"3",33,2,"2",2,1,1,2,1
"998","0","3",21,"3","4",12680,4,4,4,"2",1,4,"4",30,2,"3",1,1,1,2,1
"749","1","2",9,"2","3",1199,1,3,4,"1",1,4,"2",67,2,"2",2,1,1,2,1
"292","1","3",15,"2","2",2221,3,2,2,"1",1,4,"3",20,2,"1",1,1,1,1,1
"332","1","3",18,"3","3",2404,1,2,2,"1",1,2,"3",26,2,"2",2,1,1,1,1
"218","1","3",6,"2","4",709,3,1,2,"3",1,2,"1",27,2,"2",1,1,1,1,2
"119","1","3",9,"3","3",936,3,4,4,"2",1,2,"3",52,2,"2",2,1,1,2,1
"545","1","3",4,"3","3",1544,1,3,2,"2",1,1,"1",42,2,"2",2,1,2,1,1
"275","1","3",24,"2","1",2670,1,4,4,"2",1,4,"3",35,2,"2",1,1,1,2,1
"891","0","2",60,"2","4",14027,1,3,4,"2",1,2,"4",27,2,"2",1,1,1,2,1
"384","1","2",9,"2","4",276,1,2,4,"3",1,4,"1",22,2,"1",1,1,1,1,1
"207","1","1",12,"2","3",1107,1,2,2,"2",1,2,"1",20,2,"1",1,1,2,2,1
"314","1","2",24,"2","4",1201,1,1,4,"2",1,1,"2",26,2,"2",1,1,1,1,1
"197","1","3",6,"3","4",6761,1,3,1,"2",1,3,"4",45,2,"2",2,1,2,2,1
"878","0","1",48,"2","3",6758,1,2,3,"1",1,2,"3",31,2,"2",1,1,1,2,1
"268","1","3",36,"2","4",909,3,4,4,"2",1,4,"2",36,2,"2",1,1,1,1,1
"751","1","2",36,"3","4",2862,2,4,4,"2",1,3,"4",30,2,"3",1,1,1,1,1
"123","1","2",6,"2","3",2063,1,1,4,"3",1,3,"3",30,2,"1",1,1,1,2,1
"490","1","3",12,"2","4",3527,4,1,2,"2",1,3,"2",45,2,"2",1,1,2,2,1
"176","1","3",24,"2","3",3235,3,4,3,"1",1,2,"3",36,2,"2",1,1,1,2,1
"847","0","2",30,"3","3",1919,2,1,4,"2",1,3,"4",30,1,"2",2,1,1,1,1
"73","1","3",36,"2","3",2299,3,4,4,"2",1,4,"3",39,2,"2",1,1,1,1,1
"710","1","3",48,"3","3",6110,1,2,1,"2",1,3,"4",31,1,"3",1,1,1,2,1
"789","0","2",24,"1","4",4241,1,2,1,"2",1,4,"1",36,2,"2",2,1,1,2,1
"18","1","2",18,"2","3",3213,3,1,1,"3",1,3,"1",25,2,"1",1,1,1,1,1
"933","0","2",12,"2","4",1223,1,4,1,"1",1,1,"1",46,2,"1",2,1,1,1,1
"974","0","1",45,"1","4",11816,1,4,2,"2",1,4,"3",29,2,"1",2,1,1,1,1
"973","0","3",18,"2","3",2100,1,2,4,"2",2,2,"1",37,2,"2",1,1,1,1,1
"336","1","1",24,"2","2",1747,1,1,4,"2",2,1,"2",24,2,"2",1,1,1,1,2
"372","1","3",24,"3","3",2578,3,4,2,"2",1,2,"3",34,2,"2",1,1,1,1,1
"355","1","3",6,"2","3",1346,2,4,2,"2",1,4,"4",42,1,"3",1,1,2,2,1
"986","0","3",12,"3","4",2292,1,1,4,"2",1,2,"3",42,1,"2",2,1,1,2,1
"22","1","2",12,"3","4",3124,1,1,1,"2",1,3,"1",49,1,"2",2,1,2,1,1
"550","1","3",12,"3","2",1402,3,3,3,"1",1,4,"3",37,2,"1",1,1,1,2,1
"326","1","3",24,"3","4",1287,3,4,4,"1",1,4,"1",37,2,"2",2,1,1,2,1
"576","1","2",48,"1","4",12204,4,2,2,"2",1,2,"3",48,1,"2",1,1,1,2,1
"115","1","2",21,"2","2",3976,4,3,2,"2",1,3,"3",35,2,"2",1,1,1,2,1
"862","0","1",48,"2","4",4308,1,1,3,"1",1,4,"2",24,2,"1",1,1,1,1,1
"797","0","3",18,"2","2",2864,1,2,2,"2",1,1,"1",34,2,"2",1,1,2,1,1
"219","1","1",47,"2","4",10722,1,1,1,"1",1,1,"1",35,2,"2",1,1,1,2,1
"910","0","1",48,"1","2",7119,1,2,3,"2",1,4,"4",53,2,"3",2,1,2,1,1
"969","0","1",45,"2","3",1845,1,2,4,"2",1,4,"4",23,2,"3",1,1,1,2,1
"294","1","2",6,"3","4",1449,2,4,1,"1",1,2,"3",31,1,"2",2,1,2,1,1
"471","1","3",18,"2","2",1984,1,2,4,"2",1,4,"4",47,1,"3",2,1,1,1,1
"288","1","3",9,"2","3",2697,1,2,1,"2",1,2,"1",32,2,"2",1,1,2,1,1
"551","1","2",12,"2","4",2002,1,3,3,"2",1,4,"2",30,2,"1",1,1,2,2,1
"171","1","3",36,"2","3",5848,1,2,4,"2",1,1,"3",24,2,"2",1,1,1,1,1
"237","1","3",21,"2","2",2241,1,4,4,"2",1,2,"1",50,2,"2",2,1,1,1,1
"410","1","3",42,"2","3",7166,4,3,2,"3",1,4,"2",29,2,"1",1,1,1,2,1
"196","1","3",33,"3","1",7253,1,3,3,"2",1,2,"3",35,2,"2",2,1,1,2,1
"374","1","1",6,"2","3",343,1,1,4,"1",1,1,"1",27,2,"2",1,1,1,1,1
"100","1","2",42,"3","4",5954,1,3,2,"1",1,1,"1",41,1,"2",2,1,1,1,1
"212","1","1",24,"1","2",2828,3,2,4,"2",1,4,"1",22,1,"2",1,1,1,2,1
"565","1","3",30,"3","4",4272,2,2,2,"2",1,2,"2",26,2,"2",2,1,1,1,1
"597","1","1",12,"2","2",708,1,2,2,"2",2,3,"2",38,2,"2",1,1,2,1,1
"417","1","3",11,"3","3",1154,2,1,4,"1",1,4,"1",57,2,"2",2,1,1,1,1
"94","1","1",9,"2","3",1364,1,3,3,"2",1,4,"1",59,2,"2",1,1,1,1,1
"817","0","3",10,"2","4",1240,2,4,1,"1",1,4,"4",48,2,"3",1,1,2,1,1
"227","1","1",18,"2","4",4380,2,2,3,"2",1,4,"3",35,2,"2",1,1,2,2,1
"907","0","1",18,"1","2",1553,1,2,4,"2",1,3,"3",44,1,"2",1,1,1,1,1
"128","1","3",6,"2","2",2978,3,2,1,"2",1,2,"3",32,2,"2",1,1,1,2,1
"133","1","3",6,"2","2",2116,1,2,2,"2",1,2,"1",41,2,"2",1,1,1,2,1
"988","0","1",12,"2","3",674,2,3,4,"3",1,1,"2",20,2,"2",1,1,1,1,1
"843","0","3",12,"2","2",1123,3,2,4,"1",1,4,"3",29,2,"1",1,1,1,1,1
"117","1","2",9,"3","2",1919,1,3,4,"2",1,3,"3",35,2,"1",1,1,1,2,1
"526","1","3",36,"3","3",9566,1,2,2,"1",1,2,"3",31,1,"2",2,1,1,1,1
"604","1","1",12,"2","2",1289,1,2,4,"2",2,1,"2",21,2,"2",1,1,1,1,1
"727","1","3",21,"2","4",2782,3,3,1,"1",1,2,"3",31,1,"2",1,1,1,1,1
"943","0","3",12,"2","3",719,1,4,4,"2",1,4,"3",41,1,"2",1,1,2,1,1
"678","1","2",18,"3","3",1795,1,4,3,"1",2,4,"1",48,1,"1",2,1,1,2,1
"840","0","3",12,"2","4",1386,3,2,2,"1",1,2,"2",26,2,"2",1,1,1,1,1
"829","0","2",12,"2","3",639,1,2,4,"2",1,2,"3",30,2,"2",1,1,1,1,1
"558","1","3",12,"2","2",1474,1,1,4,"1",1,1,"2",33,1,"2",1,1,1,2,1
"240","1","3",39,"2","1",2569,3,2,4,"2",1,4,"3",24,2,"2",1,1,1,1,1
"621","1","3",24,"2","1",9277,4,2,2,"1",1,4,"4",48,2,"3",1,1,1,2,1
"982","0","3",18,"3","4",2169,1,2,4,"3",1,2,"3",28,2,"2",1,1,1,2,1
"319","1","3",15,"3","3",1360,1,2,4,"2",1,2,"2",31,2,"2",2,1,1,1,1
"486","1","3",12,"3","4",1185,1,2,3,"1",1,2,"1",27,2,"2",2,1,1,1,1
"92","1","2",30,"2","3",2991,4,4,2,"1",1,4,"3",25,2,"2",1,1,1,1,1
"311","1","3",12,"3","3",930,4,4,4,"2",1,4,"1",65,2,"2",2,1,1,1,1
"444","1","3",15,"2","3",1386,4,2,4,"3",1,2,"1",40,2,"1",1,1,1,2,1
"732","1","3",60,"2","4",6527,4,2,4,"2",1,4,"4",34,2,"3",1,1,2,2,1
"427","1","2",39,"3","3",11760,2,3,2,"2",1,3,"4",32,2,"1",1,1,1,2,1
"864","0","3",18,"3","4",2775,1,3,2,"2",1,2,"2",31,1,"2",2,1,1,1,1
"716","1","3",36,"1","3",2613,1,2,4,"2",1,2,"3",27,2,"2",2,1,1,1,1
"495","1","1",12,"3","1",1409,1,4,4,"2",1,3,"1",54,2,"2",1,1,1,1,1
"792","0","3",15,"2","3",2327,1,1,2,"1",1,3,"1",25,2,"2",1,1,1,1,1
"34","1","3",24,"2","3",1376,3,3,4,"1",1,1,"3",28,2,"2",1,1,1,1,1
"433","1","2",15,"3","4",2326,3,2,2,"2",1,4,"3",27,1,"2",1,1,1,1,1
"598","1","1",21,"3","4",571,1,4,4,"2",1,4,"1",65,2,"2",2,1,1,1,1
"812","0","1",60,"2","4",7297,1,4,4,"2",2,4,"4",36,2,"1",1,1,1,1,1
"230","1","2",48,"1","4",3566,2,3,4,"2",1,2,"3",30,2,"2",1,1,1,1,1
"14","1","2",48,"3","4",7582,2,1,2,"2",1,4,"4",31,2,"2",1,1,1,2,1
"262","1","3",11,"3","4",1393,1,1,4,"1",1,4,"3",35,2,"2",2,1,1,1,1
"87","1","3",24,"3","1",2346,1,3,4,"2",1,3,"3",35,2,"2",2,1,1,2,1
"903","0","2",36,"3","4",2225,1,4,4,"2",1,4,"4",57,1,"3",2,1,1,2,1
"628","1","3",18,"3","3",1582,3,4,4,"2",1,4,"3",46,2,"2",2,1,1,1,1
"381","1","1",18,"2","2",3650,1,1,1,"1",1,4,"3",22,2,"1",1,1,1,1,1
"156","1","3",24,"3","3",2684,1,2,4,"2",1,2,"1",35,2,"2",2,1,1,1,1
"295","1","3",15,"3","2",960,3,3,3,"1",1,2,"2",30,2,"2",2,1,1,1,1
"502","1","3",24,"3","4",2463,2,3,4,"3",1,3,"2",27,2,"2",2,1,1,2,1
"719","0","2",18,"2","2",1924,4,1,4,"1",1,3,"1",27,2,"1",1,1,1,1,1
"888","0","1",36,"3","3",8065,1,2,3,"1",1,2,"4",25,2,"2",2,1,1,2,1
"202","1","3",28,"1","1",7824,4,1,3,"2",2,4,"1",40,1,"1",2,1,2,2,1
"993","0","1",18,"2","1",7511,4,4,1,"2",1,4,"2",51,2,"3",1,1,2,2,1
"395","1","3",24,"2","2",5511,2,2,4,"2",1,1,"3",25,1,"2",1,1,1,1,1
"872","0","3",36,"3","4",7855,1,2,4,"1",1,2,"1",25,1,"2",2,1,1,2,1
"875","0","2",24,"1","3",1837,1,3,4,"1",1,4,"4",34,1,"3",1,1,1,1,1
"306","1","3",24,"2","4",1469,2,4,4,"3",1,4,"1",41,2,"1",1,1,1,1,1
"555","1","2",11,"2","2",1577,3,1,4,"1",1,1,"1",20,2,"2",1,1,1,1,1
"853","0","2",24,"3","4",1935,1,4,4,"1",1,4,"1",31,2,"2",2,1,1,2,1
"754","0","2",24,"2","1",4113,3,1,3,"1",1,4,"3",28,2,"1",1,1,1,1,1
"730","1","2",60,"3","3",9157,4,2,2,"2",1,2,"4",27,2,"3",1,1,1,1,1
"174","1","3",24,"2","3",1552,1,3,3,"2",1,1,"3",32,1,"2",1,1,2,1,1
"822","0","1",36,"3","3",6887,1,2,4,"2",1,3,"2",29,1,"2",1,1,1,2,1
"627","1","3",12,"2","4",2859,4,1,4,"2",1,4,"4",38,2,"2",1,1,1,2,1
"104","1","2",36,"3","4",7432,1,2,2,"1",1,2,"2",54,2,"1",1,1,1,1,1
"323","1","3",11,"2","4",2142,3,4,1,"1",1,2,"1",28,2,"2",1,1,1,2,1
"169","1","3",15,"3","2",2788,1,3,2,"1",2,3,"3",24,1,"2",2,1,1,1,1
"285","1","1",21,"2","3",3357,3,1,4,"1",1,2,"3",29,1,"2",1,1,1,1,1
"255","1","3",36,"3","1",5711,3,4,4,"2",1,2,"3",38,2,"2",2,1,1,2,1
"650","1","2",18,"2","4",2622,2,2,4,"2",1,4,"3",34,2,"2",1,1,1,1,1
"442","1","3",27,"3","4",5117,1,3,3,"2",1,4,"3",26,2,"2",2,1,1,1,1
"950","0","3",12,"3","3",797,4,4,4,"1",1,3,"2",33,2,"2",1,1,2,1,1
"562","1","3",18,"3","1",3850,1,3,3,"2",1,1,"3",27,2,"2",2,1,1,1,1
"233","1","3",39,"2","1",8588,2,4,4,"2",1,2,"3",45,2,"2",1,1,1,2,1
"185","1","3",9,"2","4",1449,1,3,3,"1",1,2,"3",27,2,"2",2,1,1,1,1
"44","1","2",24,"3","4",2825,4,3,4,"2",1,3,"4",34,2,"2",2,1,2,2,1
"78","1","3",24,"3","4",1940,3,4,4,"2",1,4,"1",60,2,"2",1,1,1,2,1
"48","0","3",18,"3","3",1864,2,2,4,"1",1,2,"1",30,2,"2",2,1,1,1,1
"476","1","3",24,"2","4",937,1,1,4,"3",1,3,"3",27,2,"2",2,1,1,1,1
"800","0","3",24,"2","4",947,1,3,4,"2",1,3,"4",38,1,"3",1,1,2,1,1
"164","1","3",15,"3","2",3343,1,2,4,"2",1,2,"4",28,2,"3",1,1,1,2,1
"818","0","1",12,"2","4",759,1,3,4,"2",1,2,"1",26,2,"2",1,1,1,1,1
"890","0","2",36,"2","2",9034,2,1,4,"2",2,1,"4",29,2,"1",1,1,1,2,1
"47","1","3",24,"2","4",1258,1,3,4,"2",1,1,"1",25,2,"2",1,1,1,2,1
"659","1","2",7,"2","3",2576,1,2,2,"2",2,2,"1",35,2,"2",1,1,1,1,2
"870","0","2",24,"2","4",1355,1,1,3,"1",1,4,"3",25,2,"2",1,1,1,2,1
"432","0","3",12,"3","3",1555,3,4,4,"2",1,4,"4",55,2,"3",2,1,2,1,1
"620","1","2",12,"3","4",958,1,3,2,"2",1,3,"1",47,2,"2",2,1,2,1,1
"820","0","3",9,"2","2",1980,1,1,2,"1",2,2,"3",19,2,"1",2,1,1,1,1
"72","1","3",30,"2","3",1867,4,4,4,"2",1,4,"3",58,2,"2",1,1,1,2,1
"192","1","2",36,"2","3",3711,4,2,2,"3",1,2,"3",27,2,"2",1,1,1,1,1
"98","0","2",36,"3","4",4455,1,2,2,"1",1,2,"1",30,1,"2",2,1,1,2,1
"158","1","3",30,"3","3",5954,1,3,3,"2",2,2,"3",38,2,"2",1,1,1,1,1
"857","0","1",24,"1","2",3349,3,1,4,"2",1,4,"4",30,2,"3",1,1,2,2,1
"464","0","1",28,"2","4",4006,1,2,3,"2",1,2,"3",45,2,"2",1,1,1,1,1
"937","0","2",9,"2","2",959,1,2,1,"1",1,2,"3",29,1,"2",1,1,1,1,1
"606","1","1",15,"3","2",975,1,2,2,"1",1,3,"2",25,2,"2",2,1,1,1,1
"675","1","2",12,"2","3",625,1,1,4,"3",2,1,"1",26,1,"2",1,1,1,1,1
"488","1","2",18,"3","2",3612,1,4,3,"1",1,4,"2",37,2,"2",1,1,1,2,2
"135","1","3",10,"2","4",1364,1,2,2,"1",1,4,"3",64,2,"2",1,1,1,2,1
"137","1","2",12,"2","4",1318,3,4,4,"2",1,4,"1",54,2,"2",1,1,1,2,1
"623","1","1",12,"3","1",1526,1,4,4,"2",1,4,"4",66,2,"3",2,1,1,1,1
"307","1","1",6,"2","2",1374,1,2,1,"2",1,2,"1",36,1,"2",1,1,1,2,1
"514","1","2",30,"2","2",3832,1,1,2,"3",1,1,"2",22,2,"2",1,1,1,1,1
"472","1","3",24,"2","3",999,4,4,4,"2",1,2,"3",25,2,"2",2,1,1,1,1
"25","1","1",6,"3","4",4716,4,1,1,"2",1,3,"1",44,2,"2",2,1,2,1,1
"759","0","2",30,"2","4",2150,1,2,4,"1",2,2,"4",24,1,"2",1,1,1,1,1
"382","1","1",21,"2","2",3599,1,3,1,"1",1,4,"3",26,2,"1",1,1,1,1,1
"760","0","2",36,"3","4",2820,1,1,4,"1",1,4,"3",27,2,"2",2,1,1,1,1
"914","0","1",36,"1","2",2746,1,4,4,"2",1,4,"3",31,1,"2",1,1,1,1,1
"238","1","1",24,"2","3",2384,1,4,4,"2",1,4,"1",64,1,"1",1,1,1,1,1
"845","0","2",24,"3","4",11938,1,2,2,"2",2,3,"3",39,2,"2",2,1,2,2,1
"680","1","2",6,"2","3",484,1,3,3,"3",2,3,"1",28,1,"2",1,1,1,1,1
"699","1","2",45,"3","1",4576,2,1,3,"2",1,4,"3",27,2,"2",1,1,1,1,1
"791","0","2",15,"1","4",1778,1,1,2,"1",1,1,"1",26,2,"1",2,1,1,1,1
"977","0","2",48,"1","4",18424,1,2,1,"1",1,2,"2",32,1,"2",1,1,1,2,2
"46","0","1",18,"2","4",1216,1,1,4,"1",1,3,"3",23,2,"1",1,1,1,2,1
"7","1","1",8,"3","4",3398,1,3,1,"2",1,4,"1",39,2,"2",2,1,1,1,2
"273","1","3",6,"2","3",660,3,3,2,"3",1,4,"1",23,2,"1",1,1,1,1,1
"76","1","2",9,"2","2",2030,4,3,2,"2",1,1,"3",24,2,"2",1,1,1,2,1
"600","0","1",36,"2","2",5179,1,3,4,"2",1,2,"2",29,2,"2",1,1,1,1,1
"274","1","3",24,"2","2",2835,3,4,3,"2",1,4,"2",53,2,"2",1,1,1,1,1
"966","0","2",48,"2","2",9960,1,1,1,"1",1,2,"3",26,1,"2",1,1,1,2,1
"856","0","1",48,"2","4",3931,1,3,4,"2",1,4,"4",46,2,"3",1,1,2,1,1
"788","0","2",15,"3","3",1512,3,2,3,"3",1,3,"2",61,1,"2",2,1,1,1,1
"153","1","3",48,"3","1",8858,4,3,2,"2",1,1,"4",35,2,"3",2,1,1,2,1
"783","0","2",36,"2","4",14318,1,4,4,"2",1,2,"4",57,2,"3",1,1,1,2,1
"708","1","2",30,"3","4",2181,4,4,4,"2",1,4,"1",36,2,"2",2,1,1,1,1
"155","1","2",12,"2","3",1158,3,2,3,"1",1,1,"3",26,2,"2",1,1,1,2,1
"316","1","3",15,"2","1",1300,4,4,4,"2",1,4,"4",45,1,"3",1,1,2,1,1
"466","1","3",12,"2","2",1424,4,4,3,"1",1,4,"1",55,2,"2",1,1,1,2,1
"601","0","1",36,"2","1",8229,1,2,2,"2",1,2,"2",26,2,"2",1,1,2,1,1
"874","0","3",36,"3","4",9572,1,1,1,"1",1,1,"3",28,2,"2",2,1,1,1,1
"359","1","3",18,"2","4",1961,1,4,3,"1",1,2,"3",23,2,"2",1,1,1,1,1
"745","1","3",30,"2","1",4811,4,3,2,"1",1,4,"2",24,1,"1",1,1,1,1,1
"296","1","3",36,"2","1",8133,1,2,1,"1",1,2,"2",30,1,"2",1,1,1,1,1
"718","0","3",24,"2","4",4591,3,2,2,"2",1,3,"2",54,2,"2",2,1,1,2,1
"24","1","2",12,"3","3",1424,1,3,4,"2",1,3,"2",26,2,"2",1,1,1,1,1
"271","1","3",6,"2","1",1236,3,2,2,"2",1,4,"2",50,2,"1",1,1,1,1,1
"669","1","2",18,"2","3",866,1,2,4,"3",2,2,"1",25,2,"2",1,1,1,1,1
"364","1","3",9,"2","2",1388,1,2,4,"1",1,2,"1",26,2,"1",1,1,1,1,1
"672","1","2",18,"2","3",1301,1,4,4,"3",2,2,"1",32,2,"2",1,1,1,1,1
"93","1","2",30,"1","4",4221,1,2,2,"1",1,1,"3",28,2,"2",2,1,1,1,1
"709","0","1",48,"1","4",7685,1,3,2,"1",2,4,"3",37,2,"1",1,1,1,1,1
"211","1","3",4,"2","4",1494,4,1,1,"2",1,2,"1",29,2,"2",1,1,2,1,2
"40","1","3",24,"3","1",3868,1,4,4,"1",1,2,"3",41,2,"1",2,1,1,2,1
"928","0","1",12,"2","4",902,1,3,4,"3",1,4,"2",21,2,"1",1,1,1,1,1
