"","Creditability","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Sex...Marital.Status","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone","Foreign.Worker"
"499","1","3",12,"3","4",926,1,1,1,"1",1,2,"2",38,2,"2",1,1,1,1,1
"370","1","1",24,"2","2",3021,1,2,2,"1",1,2,"1",24,2,"1",1,1,1,1,1
"5","1","1",12,"3","4",2171,1,2,4,"2",1,4,"2",38,1,"2",2,1,1,1,2
"992","0","2",24,"2","1",12579,1,4,4,"1",1,2,"4",44,2,"3",1,1,1,2,1
"248","1","3",24,"3","2",4151,2,2,2,"2",1,3,"2",35,2,"2",2,1,1,1,1
"515","1","3",15,"2","4",3186,3,3,2,"1",1,3,"3",20,2,"1",1,1,1,1,1
"126","1","3",24,"3","3",5103,1,1,3,"3",1,3,"4",47,2,"3",2,1,1,2,1
"168","1","3",24,"3","4",4526,1,2,3,"2",1,2,"1",74,2,"2",1,1,1,2,1
"162","1","3",24,"3","4",1275,3,2,2,"1",1,4,"1",36,2,"2",2,1,1,2,1
"655","1","2",48,"3","4",6681,4,2,4,"2",1,4,"4",38,2,"3",1,1,2,2,1
"854","0","3",24,"3","4",1344,4,3,4,"2",1,2,"1",37,1,"2",2,1,2,1,1
"408","1","2",9,"2","4",1391,1,2,2,"3",1,1,"1",27,1,"2",1,1,1,2,1
"265","1","3",12,"2","3",1493,1,1,4,"1",1,3,"3",34,2,"2",1,1,2,1,1
"846","0","2",27,"3","3",2520,3,2,4,"2",1,2,"2",23,2,"2",2,1,1,1,1
"334","1","3",22,"2","4",1283,4,3,4,"1",1,4,"2",25,2,"1",1,1,1,1,1
"939","0","2",24,"2","4",1246,1,1,4,"2",1,2,"1",23,1,"2",1,1,1,1,1
"586","1","1",24,"2","1",2910,1,3,2,"2",1,1,"4",34,2,"3",1,1,1,2,1
"150","1","2",24,"3","3",1743,1,4,4,"2",1,2,"2",48,2,"2",2,1,1,1,1
"106","1","3",24,"2","4",1393,1,2,2,"2",2,2,"1",31,2,"2",1,1,1,2,1
"532","1","3",24,"3","1",2197,4,3,4,"2",1,4,"3",43,2,"2",2,1,2,2,1
"525","1","2",12,"3","1",1860,1,1,4,"2",1,2,"3",34,2,"2",2,1,1,2,1
"851","0","2",45,"2","3",3031,2,2,4,"2",2,4,"2",21,2,"1",1,1,1,1,1
"830","0","2",48,"2","3",5951,1,2,2,"1",1,2,"1",22,2,"2",1,1,1,1,1
"849","0","2",36,"2","3",2671,2,2,4,"1",2,4,"4",50,2,"3",1,1,1,1,1
"182","1","3",18,"3","4",1055,1,1,4,"1",1,1,"2",30,2,"2",2,1,1,1,1
"393","1","3",6,"3","3",1047,1,2,2,"1",1,4,"2",50,2,"2",1,1,1,1,1
"97","1","2",12,"3","3",3573,1,2,1,"1",1,1,"1",23,2,"2",1,1,1,1,1
"152","1","3",12,"2","3",2171,1,1,2,"1",1,2,"3",29,1,"2",1,1,1,1,1
"492","1","3",12,"3","2",3331,1,4,2,"2",1,4,"2",42,1,"2",1,1,1,1,1
"411","1","3",13,"2","3",1409,2,1,2,"1",1,4,"1",64,2,"2",1,1,1,1,1
"603","1","1",6,"2","4",1374,4,1,4,"1",1,3,"2",75,2,"2",1,1,1,2,1
"775","0","1",36,"3","4",2145,1,3,2,"2",1,1,"3",24,2,"2",2,1,1,2,1
"926","0","1",18,"2","2",2039,1,2,1,"1",1,4,"1",20,2,"1",1,1,1,1,1
"834","0","3",36,"2","3",4210,1,2,4,"2",1,2,"3",26,2,"2",1,1,1,1,1
"479","1","3",12,"3","3",2748,1,4,2,"1",1,4,"4",57,1,"3",2,1,1,1,1
"389","1","3",10,"2","3",1225,1,2,2,"2",1,2,"3",37,2,"2",1,1,1,2,1
"452","1","1",20,"2","2",2212,4,3,4,"2",1,4,"3",39,2,"2",1,1,1,2,1
"618","1","1",18,"2","4",2249,2,3,4,"2",1,3,"3",30,2,"2",1,1,2,2,1
"209","1","2",48,"1","4",12169,4,1,4,"2",2,4,"4",36,2,"3",1,1,1,2,1
"893","0","2",12,"2","3",1484,4,2,2,"3",1,1,"1",25,2,"2",1,1,1,2,1
"41","1","3",12,"3","3",996,4,3,4,"1",1,4,"1",23,2,"2",2,1,1,1,1
"412","1","3",24,"3","4",2978,4,2,4,"2",1,4,"1",32,2,"2",2,1,2,2,1
"136","1","3",6,"2","2",1543,3,2,4,"1",1,2,"1",33,2,"2",1,1,1,1,1
"231","1","3",24,"2","3",1278,1,4,4,"2",1,1,"1",36,2,"2",1,1,1,2,1
"342","1","1",24,"1","1",3632,1,2,1,"1",2,4,"3",22,1,"1",1,1,1,1,2
"28","1","2",9,"3","3",1154,1,4,2,"2",1,4,"1",37,2,"2",2,1,1,1,1
"900","0","3",10,"2","4",1309,4,2,4,"2",2,4,"2",27,2,"2",1,1,1,1,1
"21","1","1",6,"3","4",3676,1,2,1,"2",1,3,"1",37,2,"1",2,1,2,1,1
"63","1","3",48,"3","3",3578,4,4,4,"2",1,1,"1",47,2,"2",1,1,1,2,1
"465","1","2",12,"2","4",7472,4,1,1,"1",1,2,"1",24,2,"1",1,1,1,1,1
"613","1","1",12,"2","2",1620,1,2,2,"1",2,3,"2",30,2,"2",1,1,1,1,1
"594","0","1",24,"1","4",1193,1,1,1,"1",2,4,"4",29,2,"1",2,1,1,1,1
"105","1","3",24,"3","3",1851,1,3,4,"3",2,2,"3",33,2,"2",2,1,1,2,1
"50","1","1",24,"3","4",1382,2,3,4,"2",1,1,"1",26,2,"2",2,1,1,2,1
"519","0","3",24,"2","3",5943,4,1,1,"1",1,1,"3",44,2,"2",2,1,1,2,1
"697","1","3",12,"3","4",2247,1,2,2,"1",1,2,"3",36,1,"2",2,1,1,2,1
"653","1","2",12,"2","4",754,4,4,4,"2",1,4,"2",38,2,"2",2,1,1,1,1
"536","1","2",24,"2","3",1967,1,4,4,"1",1,4,"3",20,2,"2",1,1,1,2,1
"293","1","3",6,"3","3",1898,4,2,1,"2",1,2,"1",34,2,"2",2,1,2,1,1
"405","1","3",18,"2","3",4594,1,1,3,"2",1,2,"3",32,2,"2",1,1,1,2,1
"312","1","3",48,"3","1",2751,4,4,4,"2",1,3,"3",38,2,"2",2,1,2,2,1
"475","1","3",36,"2","3",4473,1,4,4,"2",1,2,"3",31,2,"2",1,1,1,1,1
"566","1","2",24,"3","3",1553,2,3,3,"1",1,2,"2",23,2,"1",2,1,1,2,1
"6","1","1",10,"3","4",2241,1,1,1,"2",1,3,"1",48,2,"1",2,1,2,1,2
"564","1","3",24,"2","3",1377,2,4,4,"1",1,2,"4",47,2,"3",1,1,1,2,1
"741","1","3",12,"2","2",1736,1,3,3,"1",1,4,"1",31,2,"2",1,1,1,1,1
"968","0","1",18,"2","3",1345,1,2,4,"3",1,3,"1",26,2,"2",1,1,1,1,1
"12","1","1",30,"3","1",6187,2,3,1,"3",1,4,"3",24,2,"1",2,1,1,1,1
"217","1","3",10,"2","1",2901,4,1,1,"1",1,4,"1",31,2,"1",1,1,1,1,1
"263","1","3",10,"2","2",1275,1,1,4,"1",1,2,"2",23,2,"2",1,1,1,1,1
"200","1","3",48,"1","4",3609,1,2,1,"1",1,1,"1",27,1,"2",1,1,1,1,1
"512","1","3",6,"2","3",1538,1,1,1,"1",1,2,"4",56,2,"2",1,1,1,1,1
"983","0","2",48,"3","2",5096,1,2,2,"1",1,3,"3",30,2,"2",1,1,1,2,1
"90","1","2",24,"3","4",1965,4,2,4,"1",1,4,"3",42,2,"1",2,1,1,2,1
"299","1","2",12,"2","2",983,3,1,1,"1",1,4,"1",19,2,"1",1,1,1,1,1
"456","1","2",60,"3","3",7418,4,2,1,"2",1,1,"1",27,2,"2",1,1,1,1,1
"588","1","1",36,"2","2",3620,1,2,1,"2",2,2,"2",37,2,"2",1,1,2,1,1
"546","1","2",8,"2","4",907,1,1,3,"3",1,2,"1",26,2,"2",1,1,1,2,1
"868","0","2",36,"2","1",9398,1,1,1,"3",1,4,"3",28,2,"1",1,1,1,2,1
"349","1","1",12,"3","4",2121,1,2,4,"2",1,2,"2",30,2,"2",2,1,1,1,1
"71","1","2",21,"3","2",2745,3,3,3,"2",1,2,"3",32,2,"2",2,1,1,2,1
"131","1","3",24,"2","2",1925,1,2,2,"2",1,2,"1",26,2,"2",1,1,1,1,1
"345","1","3",12,"3","4",682,2,3,4,"1",1,3,"3",51,2,"2",2,1,1,2,1
"750","1","3",24,"2","2",2892,1,4,3,"1",1,4,"4",51,2,"3",1,1,1,1,1
"365","1","3",12,"2","3",2279,4,2,4,"2",1,4,"4",37,2,"3",1,1,1,2,1
"637","0","1",12,"3","2",2246,1,4,3,"2",1,3,"2",60,2,"2",2,1,1,1,1
"748","1","3",24,"3","3",5507,1,4,3,"2",1,4,"4",44,2,"3",2,1,1,1,1
"700","1","1",24,"3","3",1231,3,4,4,"1",1,4,"2",57,2,"1",2,1,1,2,1
"842","0","2",18,"3","2",1928,1,1,2,"2",1,2,"1",31,2,"2",2,1,1,1,1
"496","1","3",24,"2","3",1311,2,3,4,"3",1,3,"2",26,2,"2",1,1,1,2,1
"592","1","1",8,"3","4",1164,1,4,3,"2",1,4,"4",51,1,"3",2,1,2,2,1
"53","1","3",9,"3","4",1224,1,2,3,"2",1,1,"1",30,2,"2",2,1,1,1,1
"736","1","3",6,"2","3",1338,3,2,1,"1",1,4,"1",62,2,"2",1,1,1,1,1
"643","1","1",24,"3","1",6419,1,4,2,"1",1,4,"4",44,2,"3",2,1,2,2,1
"641","1","1",36,"3","2",2348,1,2,3,"3",1,2,"2",46,2,"2",2,1,1,2,1
"661","1","2",8,"2","3",1414,1,2,4,"2",2,2,"1",33,2,"2",1,1,1,1,2
"356","1","3",36,"3","1",10477,4,4,2,"2",1,4,"4",42,2,"3",2,1,1,1,1
"440","1","2",18,"3","4",3590,1,1,3,"3",1,3,"3",40,2,"2",2,1,2,2,1
"75","1","3",12,"2","3",3399,4,4,2,"2",1,3,"3",37,2,"2",1,1,1,1,1
"711","1","3",24,"2","4",3757,1,4,4,"1",2,4,"4",62,2,"3",1,1,1,2,1
"397","1","2",24,"3","3",6403,1,1,1,"2",1,2,"3",33,2,"2",1,1,1,1,1
"722","1","3",15,"2","3",1905,1,4,4,"2",1,4,"3",40,2,"1",1,1,1,2,1
"426","1","3",12,"3","3",717,1,4,4,"2",1,4,"1",52,2,"2",2,1,1,1,1
"693","1","2",6,"2","3",454,1,1,3,"3",1,1,"2",22,2,"2",1,1,1,1,1
"859","0","1",42,"2","3",3965,1,1,4,"2",1,3,"3",34,2,"2",1,1,1,1,1
"644","0","1",48,"3","1",6143,1,4,4,"1",1,4,"4",58,1,"3",2,1,1,1,1
"517","1","2",24,"3","4",6967,2,3,4,"2",1,4,"3",36,2,"1",1,1,1,2,1
"430","1","2",9,"2","4",3195,4,2,1,"1",1,2,"1",33,2,"2",1,1,1,1,1
"256","1","3",15,"2","4",2687,1,3,2,"2",1,4,"2",26,2,"1",1,1,1,2,1
"3","1","2",12,"2","4",841,2,3,2,"1",1,4,"1",23,2,"1",1,1,1,1,1
"416","1","3",28,"3","3",2743,1,4,4,"2",1,2,"3",29,2,"2",2,1,1,1,1
"805","0","1",12,"2","4",900,4,2,4,"3",1,2,"3",23,2,"2",1,1,1,1,1
"811","0","2",48,"2","4",15672,1,2,2,"2",1,2,"3",23,2,"2",1,1,1,2,1
"949","0","1",18,"1","4",1442,1,3,4,"2",1,4,"4",32,1,"3",2,1,2,1,1
"383","1","3",60,"3","4",13756,4,4,2,"2",1,4,"4",63,1,"3",1,1,1,2,1
"9","1","3",18,"3","3",1098,1,1,4,"1",1,4,"3",65,2,"2",2,1,1,1,1
"478","1","3",24,"2","3",3105,4,1,4,"2",1,2,"3",25,2,"2",2,1,1,1,1
"81","1","3",24,"3","4",2022,1,2,4,"1",1,4,"3",37,2,"2",1,1,1,2,1
"936","0","1",20,"3","4",2235,1,2,4,"3",2,2,"2",33,1,"1",2,1,1,1,2
"429","1","1",12,"2","3",1200,4,2,4,"1",1,4,"2",23,1,"1",1,1,1,2,1
"27","1","1",12,"2","2",652,1,4,4,"1",1,4,"2",24,2,"1",1,1,1,1,1
"959","0","2",30,"1","4",4280,2,2,4,"1",1,4,"3",26,2,"1",2,1,1,1,1
"264","1","3",9,"2","2",1313,1,4,1,"2",1,4,"3",20,2,"2",1,1,1,1,1
"541","0","2",9,"2","3",1670,1,1,4,"1",1,2,"3",22,2,"2",1,1,1,2,1
"222","1","3",30,"3","3",3656,4,4,4,"2",1,4,"2",49,1,"2",2,1,1,1,1
"32","1","3",36,"3","4",3535,1,3,4,"2",1,4,"3",37,2,"2",2,1,1,2,1
"581","0","1",24,"1","3",1546,1,3,4,"2",2,4,"3",24,1,"1",1,1,1,1,1
"645","1","3",24,"3","3",1597,1,4,4,"2",1,4,"4",54,2,"3",2,1,2,1,1
"254","1","3",36,"2","3",3595,1,4,4,"2",1,2,"3",28,2,"2",1,1,1,1,1
"138","1","1",24,"1","4",2325,2,3,2,"2",1,3,"3",32,1,"2",1,1,1,1,1
"777","0","2",18,"3","2",4297,1,4,4,"1",1,3,"4",40,2,"2",1,1,1,2,1
"224","1","3",27,"3","1",8613,3,2,2,"2",1,2,"3",27,2,"2",2,1,1,1,1
"15","1","1",18,"2","3",1936,4,3,2,"3",1,4,"3",23,2,"1",2,1,1,1,1
"378","1","2",27,"3","1",5965,1,4,1,"2",1,2,"3",30,2,"2",2,1,1,2,1
"484","1","3",12,"3","2",5801,4,4,2,"2",1,4,"2",49,2,"1",1,1,1,2,2
"436","1","3",7,"3","3",846,4,4,3,"2",1,4,"4",36,2,"3",1,1,1,1,1
"663","1","2",12,"3","3",585,1,2,4,"3",2,4,"1",20,2,"1",2,1,1,1,1
"898","0","3",27,"2","4",2570,1,2,3,"1",1,3,"1",21,2,"1",1,1,1,1,1
"935","0","1",16,"3","4",2625,1,4,2,"2",2,4,"2",43,2,"1",1,1,1,2,2
"795","0","3",30,"3","4",1908,1,4,4,"2",1,4,"1",66,2,"2",1,1,1,2,1
"216","1","3",10,"2","4",3949,1,1,1,"2",2,1,"2",37,2,"2",1,1,2,1,1
"110","1","3",12,"3","3",2012,4,3,4,"1",1,2,"3",61,2,"2",1,1,1,1,1
"62","1","3",24,"2","1",2679,1,1,4,"1",1,1,"4",29,2,"2",1,1,1,2,1
"609","1","1",48,"2","1",4788,1,3,4,"2",1,3,"2",26,2,"2",1,1,2,1,1
"528","1","2",12,"2","3",2930,1,3,2,"1",1,1,"1",27,2,"2",1,1,1,1,1
"305","0","3",9,"2","3",745,1,2,3,"1",1,2,"1",28,2,"2",1,1,1,1,1
"880","0","1",24,"1","4",1358,4,4,4,"2",1,3,"3",40,1,"2",1,1,1,2,1
"808","0","1",60,"3","4",6836,1,4,3,"2",1,4,"4",63,2,"2",2,1,1,2,1
"999","0","2",12,"2","3",6468,4,1,2,"2",1,1,"4",52,2,"2",1,1,1,2,1
"132","1","3",18,"2","2",2515,1,2,3,"2",1,4,"1",43,2,"2",1,1,1,2,1
"728","1","3",12,"2","4",1884,1,4,4,"2",1,4,"3",39,2,"2",1,1,1,2,1
"571","1","3",12,"2","4",1330,1,1,4,"2",1,1,"1",26,2,"2",1,1,1,1,1
"215","1","2",9,"2","4",1549,4,1,4,"2",1,2,"1",35,2,"2",1,1,1,1,1
"714","1","3",9,"3","3",1244,4,4,4,"1",1,4,"2",41,2,"1",2,1,1,1,1
"885","0","2",15,"2","4",2631,2,2,2,"1",1,4,"3",28,2,"1",2,1,1,2,1
"206","1","2",18,"2","4",4439,1,4,1,"2",2,1,"1",33,1,"2",1,1,1,2,1
"651","1","2",24,"2","2",4351,4,2,1,"1",1,4,"2",48,2,"2",1,1,1,2,1
"835","0","3",6,"2","2",4611,1,1,1,"1",1,4,"2",32,2,"2",1,1,1,1,1
"773","0","1",18,"2","3",1217,1,2,4,"3",1,3,"1",47,2,"2",1,1,1,2,1
"454","1","2",24,"3","3",5743,1,1,2,"1",1,4,"4",24,2,"3",2,1,1,2,1
"865","0","1",40,"3","3",5998,1,2,4,"2",1,3,"4",27,1,"2",1,1,1,2,1
"901","0","1",24,"2","4",4817,1,3,2,"2",2,3,"2",31,2,"2",1,1,1,2,1
"568","1","3",6,"3","4",362,2,2,4,"1",1,4,"3",52,2,"2",2,1,1,1,1
"784","0","2",6,"1","3",433,3,1,4,"1",1,2,"2",24,1,"1",1,1,2,1,1
"738","1","3",18,"3","3",1149,3,2,4,"2",1,3,"1",46,2,"2",2,1,1,1,1
"537","1","3",4,"3","4",3380,1,3,1,"1",1,1,"1",37,2,"2",1,1,2,1,1
"367","1","3",24,"2","3",1258,3,2,3,"1",1,3,"3",57,2,"2",1,1,1,1,1
"407","1","3",15,"2","1",4657,1,2,3,"2",1,2,"3",30,2,"2",1,1,1,2,1
"599","1","1",30,"2","3",2522,1,4,1,"2",2,3,"2",39,2,"2",1,1,2,1,1
"579","0","1",33,"3","2",4281,3,2,1,"1",1,4,"3",23,2,"2",2,1,1,1,1
"453","1","2",10,"2","4",7308,1,1,2,"2",1,4,"4",70,1,"3",1,1,1,2,1
"199","1","3",12,"2","3",2141,2,3,3,"2",1,1,"4",35,2,"2",1,1,1,1,1
"927","0","1",24,"1","4",3161,1,2,4,"2",1,2,"2",31,1,"1",1,1,1,2,1
"761","0","2",48,"2","3",3060,1,3,4,"2",1,4,"1",28,2,"2",2,1,1,1,1
"335","1","3",24,"3","4",717,4,4,4,"3",1,4,"3",54,2,"2",2,1,1,2,1
"971","0","3",48,"2","4",4844,1,1,3,"2",1,2,"3",33,2,"1",1,1,1,2,1
"803","0","1",24,"2","4",1371,4,2,4,"1",1,4,"1",25,2,"1",1,1,1,1,1
"889","0","1",24,"2","3",2439,1,1,4,"1",1,4,"1",35,2,"2",1,1,1,2,1
"559","1","3",24,"2","1",5433,4,1,2,"1",1,4,"2",26,2,"1",1,1,1,2,1
"422","1","2",11,"3","4",1322,3,2,4,"1",1,4,"3",40,2,"2",2,1,1,1,1
"59","1","3",21,"2","3",3160,4,4,4,"2",1,3,"2",41,2,"2",1,1,1,2,1
"189","1","2",36,"2","3",2273,1,3,3,"2",1,1,"3",32,2,"2",2,1,2,1,1
"507","1","3",12,"3","3",1240,4,4,4,"1",1,2,"1",38,2,"2",2,1,1,2,1
"130","1","3",24,"3","3",2872,2,4,3,"2",1,4,"1",36,2,"2",1,1,2,2,1
"962","0","2",12,"2","3",1331,1,1,2,"2",1,1,"3",22,2,"2",1,1,1,1,1
"188","1","3",24,"2","3",3430,3,4,3,"2",1,2,"3",31,2,"2",1,1,2,2,1
"698","1","3",24,"2","3",1413,1,2,4,"3",1,2,"2",28,2,"2",1,1,1,1,1
"850","0","2",36,"2","3",12612,2,2,1,"2",1,4,"4",47,2,"3",1,1,2,2,1
"301","1","1",12,"1","4",339,1,4,4,"3",1,1,"3",45,1,"2",1,1,1,1,1
"987","0","1",14,"2","4",8978,1,4,1,"1",1,4,"2",45,2,"2",1,1,1,2,2
"325","1","3",10,"2","4",1546,1,2,3,"2",1,2,"1",31,2,"2",1,1,2,1,2
"201","1","3",30,"2","3",2333,3,4,4,"2",1,2,"3",30,1,"2",1,1,1,1,1
"363","1","3",6,"3","2",1221,4,2,1,"3",1,2,"2",27,2,"2",2,1,1,1,1
"77","1","3",21,"3","1",3275,1,4,1,"2",1,4,"3",36,2,"2",1,1,1,2,1
"114","1","3",12,"2","2",763,1,2,4,"1",1,1,"1",26,2,"2",1,1,1,2,1
"739","1","2",15,"2","3",1308,1,4,4,"2",1,4,"3",38,2,"2",2,1,1,1,1
"251","1","2",18,"3","4",2899,4,4,4,"2",1,4,"3",43,2,"2",1,1,2,1,1
"932","0","1",12,"2","4",1274,1,1,3,"1",1,1,"1",37,1,"2",1,1,1,1,1
"388","1","3",24,"2","4",7393,1,2,1,"2",1,4,"2",43,2,"2",1,1,2,1,1
"108","1","3",18,"2","3",1473,1,1,3,"3",1,4,"1",39,2,"2",1,1,1,2,1
"448","1","3",12,"2","3",886,4,2,4,"1",1,2,"3",21,2,"2",1,1,1,1,1
"350","1","3",12,"3","3",701,1,2,4,"2",1,2,"3",32,2,"2",2,1,1,1,1
"876","0","2",30,"3","4",4249,1,1,4,"3",1,2,"3",28,2,"2",2,1,1,1,1
"855","0","3",18,"2","2",1533,1,1,4,"3",2,1,"2",43,2,"2",1,1,2,1,1
"776","0","1",36,"2","4",1842,1,1,4,"1",1,4,"3",34,2,"2",1,1,1,2,1
"960","0","2",24,"2","3",3092,2,1,3,"3",1,2,"3",22,2,"1",1,1,1,2,1
"556","1","3",33,"3","4",2764,1,2,2,"1",1,2,"3",26,2,"2",2,1,1,2,1
"226","1","3",24,"3","3",1516,3,2,4,"1",1,1,"1",43,2,"2",2,1,1,1,1
"88","1","3",36,"3","3",4454,1,2,4,"1",1,4,"1",34,2,"2",2,1,1,1,1
"74","1","3",24,"2","2",929,4,3,4,"2",1,2,"3",31,1,"2",1,1,1,2,1
"895","0","2",24,"3","2",2064,1,1,3,"1",1,2,"2",34,2,"2",1,1,1,2,1
"501","1","3",24,"2","4",1249,1,1,4,"3",1,2,"1",28,2,"2",1,1,1,1,1
"922","0","1",12,"1","4",697,1,1,4,"2",1,2,"3",46,1,"2",2,1,1,2,1
"616","1","1",12,"2","4",1893,1,2,4,"1",2,4,"2",29,2,"2",1,1,1,2,1
"815","0","2",9,"1","1",5129,1,4,2,"1",1,4,"4",74,1,"3",1,1,2,2,1
"911","0","1",24,"3","4",4870,1,2,3,"2",1,4,"4",53,2,"3",2,1,2,1,1
"590","1","2",12,"2","2",3017,1,1,3,"1",1,1,"1",34,2,"1",1,1,1,1,1
"418","1","3",24,"3","1",5804,3,2,4,"2",1,2,"1",27,2,"2",2,1,1,1,1
"391","1","3",15,"2","1",3029,1,3,2,"2",1,2,"3",33,2,"2",1,1,1,1,1
"399","1","3",12,"3","1",1503,1,2,4,"3",1,4,"1",41,2,"1",1,1,1,1,1
"573","1","2",26,"2","1",7966,1,1,2,"2",1,3,"3",30,2,"2",2,1,1,1,1
"144","1","3",9,"3","2",2406,1,1,2,"2",1,3,"3",31,2,"2",1,1,1,1,1
"341","1","3",30,"3","3",3077,4,4,3,"2",1,2,"3",40,2,"2",2,1,2,2,1
"662","1","2",12,"2","3",1103,1,3,4,"2",2,3,"1",29,2,"2",2,1,1,1,1
"721","0","2",48,"3","3",6224,1,4,4,"2",1,4,"4",50,2,"3",1,1,1,1,1
"394","1","3",15,"3","3",1471,1,2,4,"2",1,4,"4",35,2,"3",2,1,1,2,1
"625","1","1",24,"3","1",6615,1,1,2,"2",1,4,"4",75,2,"3",2,1,1,2,1
"729","1","3",36,"3","1",11054,4,2,4,"2",1,2,"3",30,2,"2",1,1,1,2,1
"172","0","1",12,"2","4",1228,1,2,4,"1",1,2,"1",24,2,"2",1,1,1,1,1
"451","0","2",12,"2","3",766,3,2,4,"2",1,3,"1",66,2,"2",1,1,1,1,1
"177","1","3",24,"3","4",4139,2,2,3,"2",1,3,"2",27,2,"2",2,1,1,2,1
"725","1","1",24,"2","2",4020,1,2,2,"2",1,2,"3",27,1,"2",1,1,1,1,1
"707","1","3",24,"3","2",3617,4,4,4,"2",2,4,"4",20,2,"1",2,1,1,1,1
"362","1","1",12,"2","2",1858,1,1,4,"1",1,1,"3",22,2,"1",1,1,1,1,1
"441","1","3",21,"3","2",2288,1,1,4,"1",1,4,"2",23,2,"2",1,1,1,2,1
"790","0","2",24,"3","2",4736,1,1,2,"1",1,4,"3",25,1,"2",1,1,1,1,1
"648","1","3",48,"3","3",7238,4,4,3,"2",1,3,"3",32,1,"2",2,1,2,1,1
"402","1","2",12,"2","4",1037,2,3,3,"2",1,4,"1",39,2,"2",1,1,1,1,1
"377","0","1",12,"1","3",1108,1,3,4,"2",1,3,"1",28,2,"2",2,1,1,1,1
"612","1","1",12,"2","2",2577,1,2,2,"1",1,1,"3",42,2,"2",1,1,1,1,1
"191","1","3",24,"2","3",1901,2,2,4,"2",1,4,"3",29,2,"1",1,1,1,2,1
"978","0","1",6,"2","4",14896,1,4,1,"2",1,4,"4",68,1,"2",1,1,1,2,1
"368","1","2",12,"1","4",1410,1,2,2,"2",1,2,"1",31,2,"2",1,1,1,2,1
"717","1","1",48,"2","3",7476,1,3,4,"2",1,1,"4",50,2,"3",1,1,1,2,1
"510","1","1",6,"2","4",1203,2,4,3,"2",1,2,"2",43,2,"2",1,1,1,2,1
"755","0","2",6,"2","4",14555,4,1,1,"2",1,2,"2",23,2,"2",1,1,1,2,1
"560","1","2",14,"2","4",1410,3,4,1,"3",1,2,"1",35,2,"2",1,1,1,2,1
"166","1","3",9,"3","4",2134,1,2,4,"2",1,4,"3",48,2,"2",2,1,1,2,1
"539","1","3",7,"3","3",730,4,4,4,"2",1,2,"2",46,2,"1",2,1,1,2,1
"269","1","3",12,"3","2",1258,1,1,2,"1",1,4,"2",22,2,"1",2,1,1,1,1
"425","1","3",15,"3","3",1829,1,4,4,"2",1,4,"3",46,2,"2",2,1,1,2,1
"43","1","3",18,"3","4",1028,1,2,4,"1",1,3,"1",36,2,"2",2,1,1,1,1
"516","1","2",24,"2","3",2896,2,1,2,"2",1,1,"3",29,2,"2",1,1,1,1,1
"385","1","3",42,"3","2",4041,3,2,4,"2",1,4,"1",36,2,"2",2,1,1,2,1
